recording_id,label,label_idx,load_hp,rpm,fault_size,sampling_rate,channel,rel_path,path
10,B,3,2,1750,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B014_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B014_2HP_1750rpm.mat
11,B,3,3,1730,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B014_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B014_3HP_1730rpm.mat
12,B,3,0,1797,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B021_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B021_0HP_1797rpm.mat
13,B,3,1,1772,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B021_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B021_1HP_1772rpm.mat
14,B,3,2,1750,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B021_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B021_2HP_1750rpm.mat
15,B,3,3,1730,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/B021_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/B021_3HP_1730rpm.mat
16,IR,1,0,1797,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR007_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR007_0HP_1797rpm.mat
17,IR,1,1,1772,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR007_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR007_1HP_1772rpm.mat
18,IR,1,2,1750,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR007_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR007_2HP_1750rpm.mat
19,IR,1,3,1730,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR007_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR007_3HP_1730rpm.mat
20,IR,1,0,1797,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR014_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR014_0HP_1797rpm.mat
21,IR,1,1,1772,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR014_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR014_1HP_1772rpm.mat
22,IR,1,2,1750,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR014_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR014_2HP_1750rpm.mat
23,IR,1,3,1730,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR014_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR014_3HP_1730rpm.mat
24,IR,1,0,1797,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR021_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR021_0HP_1797rpm.mat
25,IR,1,1,1772,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR021_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR021_1HP_1772rpm.mat
26,IR,1,2,1750,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR021_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR021_2HP_1750rpm.mat
27,IR,1,3,1730,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/IR021_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/IR021_3HP_1730rpm.mat
28,OR,2,0,1797,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@12_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@12_0HP_1797rpm.mat
29,OR,2,1,1772,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@12_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@12_1HP_1772rpm.mat
30,OR,2,2,1750,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@12_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@12_2HP_1750rpm.mat
31,OR,2,3,1730,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@12_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@12_3HP_1730rpm.mat
32,OR,2,0,1797,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@3_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@3_0HP_1797rpm.mat
33,OR,2,1,1772,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@3_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@3_1HP_1772rpm.mat
34,OR,2,2,1750,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@3_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@3_2HP_1750rpm.mat
35,OR,2,3,1730,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@3_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@3_3HP_1730rpm.mat
36,OR,2,0,1797,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@6_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@6_0HP_1797rpm.mat
37,OR,2,1,1772,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@6_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@6_1HP_1772rpm.mat
38,OR,2,2,1750,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@6_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@6_2HP_1750rpm.mat
39,OR,2,3,1730,0.007,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR007@6_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR007@6_3HP_1730rpm.mat
40,OR,2,0,1797,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR014@3_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR014@3_0HP_1797rpm.mat
41,OR,2,1,1772,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR014@3_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR014@3_1HP_1772rpm.mat
42,OR,2,2,1750,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR014@3_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR014@3_2HP_1750rpm.mat
43,OR,2,3,1730,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR014@3_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR014@3_3HP_1730rpm.mat
44,OR,2,0,1797,0.014,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR014@6_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR014@6_0HP_1797rpm.mat
45,OR,2,1,1772,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR021@3_1HP_1772rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR021@3_1HP_1772rpm.mat
46,OR,2,2,1750,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR021@3_2HP_1750rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR021@3_2HP_1750rpm.mat
47,OR,2,3,1730,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR021@3_3HP_1730rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR021@3_3HP_1730rpm.mat
48,OR,2,0,1797,0.021,12000,FE,Source_Datasets/04_12k_Fan_End_Fault/OR021@6_0HP_1797rpm.mat,C:\Users\qq299\Desktop\2026年暑假课堂作业和大作业\cv2\2025E\cwru_experiment\Source_Datasets/04_12k_Fan_End_Fault/OR021@6_0HP_1797rpm.mat
